"PDF Reader - View, Edit, Annotate by Xodo",Free,Productivity,82.41 MB, Collaborative PDF Annotation
Typing Practice - Lite,Free,Utilities & tools,46.25 MB,Keyboard Typing Skill Improvement
"PDF Reader - Free PDF Editor, PDF Annotator, PDF Converter, PDF Sign, Form Filler, PDF Merger, and Note-taker, Best Alternative to Adobe Acrobat PDFs",Free,Productivity,94.71 MB,Alternative PDF Editing Suite
Free Unlimited VPN Proxy - The Internet Freedom VPN,Free,Education  >  Books & reference,8.02 MB,VPN for Internet Freedom
Animotica - Movie Maker,Free,Photo & video,118.34 MB,User-Friendly Video Editing
App Installer,Free,Utilities & tools,18.77 MB,Effortless App Installation
ModernFlyouts (Preview),Free,Utilities & tools,182.08 MB,Modern System Notifications
Beauty of China PREMIUM,Free,Personalization  >  Themes,17.84 MB,Premium High-Quality Chinese Landscapes
Scratch 3,Free,Education,335.64 MB,Creative Programming for Kids
Paint 3D,Free,Entertainment,65.79 MB,3D Painting and Art Creation
OMEN Gaming Hub,Free,Utilities & tools,486.84 MB,Gaming Hardware Management
Blender,Free,Multimedia design,645 MB,3D Modeling and Animation
"RecForth - Free Screen Recorder, Screen Record, Screen Recording, Capture, Take Screenshot, WebCam, Gif Maker & Video Recorder",Free,Photo & video,7.47 MB, Multi-functional Screen Recording Suite
Slack,Free,Business,221.71 MB,Team Collaboration and Messaging
McAfee Personal Security,Free,Security  >  PC protection,23.86 MB,Comprehensive Personal Security
Files - File Manager for Windows,Free,Utilities & tools  >  File managers,50.07 MB,Efficient File Management
Xbox Series X,Free,Personalization  >  Themes,29.54 MB,Next-Gen Gaming Console Integration
MyASUS,Free,Productivity,219.82 MB,ASUS Device Management
Japanese Islands PREMIUM,Free,Personalization  >  Themes,15.64 MB, Premium Collection of Japanese Island Imagery
Widget Launcher,Free,Productivity,234.52 MB,Customizable Widget Management
Kali Linux,Free,Security  >  PC protection,194.37 MB,Powerful Penetration Testing Tools
Rain in the City,Free,Personalization  >  Themes,7.57 MB,Relaxing City Rain Ambience
"Total PC Cleaner - Free Disk Space Clean Up, Optimize Memory & Windows System",Free,Productivity,31.63 MB, PC Optimization and Cleaning
Crunchyroll,Free,Entertainment,23.78 MB,Streaming Anime and Manga
Xbox Game Bar,Free,Utilities & tools,44.17 MB, In-Game Overlay and Features
Windows Notepad,Free,Productivity,3.19 MB,Lightweight Text Editing
Ubuntu 18.04 LTS,Free,Developer tools  >  Servers,271.01 MB,Linux Operating System
Clouds PREMIUM,Free,Personalization  >  Themes,10.21 MB,Premium Collection of Cloudscape Imagery
Web VPN,Free,Productivity,6.3 MB, Browser-Level VPN Security
Python 3.10,Free,Developer tools  >  Development kits,104.45 MB,Latest Python Programming Environment
Zen: Coloring book for adults,Free,Entertainment,616.64 MB,Relaxing Coloring Book Experience
Wallpaper - HD Wallpapers Desktop Wallpapers,Free,Personalization  >  Wallpaper & lock screens,34.92 MB,Extensive Collection of HD Wallpapers
Cinebench,Free,Productivity,643.03 MB,Benchmarking for Computer Hardware
DVD Player - FREE,Free,Entertainment,158.39 MB, DVD Playback Support
Avast Antivirus Download Center,Free,Security,5.39 MB,Download Center for Avast Antivirus
McLaren Senna Track Day,Free,Personalization  >  Themes,6.64 MB,Virtual McLaren Senna Track Experience
IntelÂ® Graphics Command Center,Free,Business,125.37 MB,Graphics Settings and Optimization
Evernote,Free,Productivity,429.18 MB,Note-Taking and Organization
CorelDRAW Microsoft Store Edition,Free,Multimedia design  >  Illustration & graphic design,1.13 GB, Graphic Design and Illustration
Duolingo - Learn Languages for Free,Free,Education  >  Language,18.65 MB,Gamified Language Learning
Snip & Sketch,Free,Utilities & tools,28.56 MB,Screen Capture and Annotation
Desktop digital clock,Free,Utilities & tools,28.02 MB,Customizable Digital Desktop Clock
YouTV - YouTube Player,Free,Utilities & tools,28.02 MB, YouTube Video Playback and Management
"HEIC Image Viewer, Converter",Free,Photo & video,32.28 MB,HEIC Image Format Support and Conversion
Samsung Flow,Free,Utilities & tools,63.07 MB,Seamless Device Synchronization
"Trio Office - Word, Slide, Spreadsheet, PDF & RTF Compatible",Free,Productivity,867.5 MB, Office Suite Compatibility
EarTrumpet,Free,Utilities & tools,7.48 MB,Advanced Audio Control
Vector Art PREMIUM,Free,Personalization  >  Themes,2.3 MB,Premium Vector Art Collection
hide.me VPN,Free,Security,30.32 MB,Secure and Private VPN Service
"1 File Viewer: jpg, zip, mp4, Word, photo, video, PDF free opener",Free,Utilities & tools,958.49 MB,Universal File Viewer
Wildlife of India,Free,Personalization  >  Themes,13.96 MB,Educational Wildlife Exploration
Microsoft Wireless Display Adapter,Free,Utilities & tools,49.5 MB,Wireless Screen Mirroring
Microsoft Sticky Notes,Free,Utilities & tools,39.82 MB, Digital Sticky Note Organization
"AutoCAD mobile - DWG Viewer, Editor & CAD Drawing Tools",Free,Productivity,472.61 MB,Mobile CAD Drawing and Editing
GoTube - Video Downloader for YouTube 4K. MP4 & MP3 Music Converter,Free,Entertainment,22.44 MB,youTube Video Download and Conversion
Battery Percentage Icon,Free,Utilities & tools,604 KB,Battery Status Indicator
PhotoScape X,Free,Photo & video,500.54 MB,Advanced Photo Editing Suite
Wikipedia,Free,Books & reference  >  Reference,1.07 MB,Access to Extensive Knowledge Base
River Roll On PREMIUM,Free,Personalization  >  Themes,17.37 MB,Premium River Landscape Imagery
RoundedTB,Free,Personalization,8.83 MB,Rounded Taskbar Customization
Feem v4 - Share Files Offline,Free,Utilities & tools,13.13 MB,Offline File Sharing
freda,Free,Books & reference  >  E-reader,62.1 MB,E-Book Reading and Management
VidMate Converter,Free,Photo & video,6.31 MB,Video and Music Conversion
Street Views PREMIUM,Free,Personalization  >  Themes,22.84 MB,Premium Street View Imagery
Microsoft Remote Desktop,Free,Productivity,59.55 MB,Remote Desktop Access
TubeMate - YouTube Video Downloader. Free YouTube MP3 & MP4 Music Converter,Free,Music,22.75 MB,YouTube Video Download and Conversion
Photo Editor | Polarr,Free,Photo & video,657.14 MB, Advanced Photo Editing Tools
CamScanner PC,Free,Productivity,180.22 MB, PC-Based Document Scanning
Bluetooth Audio Receiver,Free,Music,25.2 MB,Bluetooth Audio Connectivity
"PDF Reader Pro - Free PDF Viewer, PDF Annotator, PDF Editor, PDF Converter, PDF to Word, Merge PDF, Compress PDF, PDF Creator, PDF Splitter, Adobe Fill & Sign",Free,Business  >  File management,92.96 MB, Pro-Level PDF Toolkit
Ink Draft,Free,Personalization  >  Fonts,164 KB,Digital Sketching and Drawing
Epson Print and Scan,Free,Photo & video,352.76 KB,Epson Printer Management
HP Cloud Recovery Tool,Free,Utilities & tools,18.1 MB, HP Device Cloud Recovery
Python 3.7,Free,Developer tools  >  Development kits,95.78 MB, Python Programming Environment
Unigram - Telegram for Windows 10,Free,Social,94.03 MB,Unofficial Telegram Client
Zip-Unzip,Free,Utilities & tools  >  File managers,93.36 MB, File Compression and Decompression
NCERT,Free,Education,2.56 MB, NCERT Educational Content
YouTuBrowser,Free,Photo & video,152.05 MB,Customizable Web Browser
Mountain Light PREMIUM,Free,Personalization  >  Themes,11.25 MB,Premium Collection of Mountain Landscape Imagery
"Focus To-Do: Pomodoro Timer & To Do List ã€ŒPomodoro Technique, Task Organizer, Time Tracker, Schedule Planner, Reminderã€",Free,Productivity,29.45 MB," Pomodoro Technique, Task Organizer, Time Tracker, "
World National Parks,Free,Personalization  >  Themes,15.22 MB, Virtual Exploration of Global National Parks
Live Wallpaper by Giantapp,Free,Entertainment,300.13 MB, Dynamic and Interactive Live Wallpapers
Miracast for PC,Free,Business,26.06 MB, Screen Mirroring and Casting
Company Portal,Free,Business,46.76 MB,Enterprise Mobile Device Management
Cortana,Free,Productivity,49.8 MB,Virtual Personal Assistant and Voice Command
Complete Anatomy 2022,Free,Medical,2 GB,Comprehensive 3D Anatomy Visualization
Wooden Walkways PREMIUM,Free,Personalization  >  Themes,29.99 MB,Premium Collection of Wooden Walkway Imagery
"Wallpaper Studio 10: Free Wallpapers,Backgrounds,Lockscreen & Stock Videos Download",Free,Personalization,36.82 MB,Extensive Collection of High-Quality Wallpapers and 
VidTuber - YT Downloader Video & Music for You - Free Tube Video Converter to MP3 & MP4,Free,Music,22.98 MB,YouTube Video and Music Download and Conversion
Ford Mustang RTR Formula Drift,Free,Personalization  >  Themes,13.07 MB,Racing Simulation with Ford Mustang RTR
Audiobooks from Audible,Free,Books & reference  >  E-reader,64.66 MB,Audiobook Streaming and Download
CnX Media Player - 4K UHD & HDR Video Player,Free,Photo & video,360.95 MB, High-Quality Media Playback with 4K UHD and HDR
Mail,Free,Productivity,21.77 MB,Email Management and Communication
TUF Aura Core,Free,Utilities & tools  >  File managers,23.37 MB,RGB Lighting Control for TUF Gaming Devices
Movie Maker : Free Video Editor,"Full price was â‚¹ 2,724.00",Photo & video,153.18 MB,Free and Easy Video Editing
World Oceans Day PREMIUM,Free,Personalization  >  Themes,28.51 MB, Premium Collection of Ocean Imagery in Celebration of World Oceans Day
moneycontrol.com,Free,Personal finance,20.71 MB,Financial News and Investment Tracking
Kodi,Free,Photo & video,172.7 MB, Open-Source Media Center and Entertainment Hub
Photo Image Viewer,Free,Multimedia design  >  Photo & video production,3.04 MB,Lightweight and Fast Image Viewer
imo desktop free video calls and chat,Free,Social,19.69 MB,Desktop Version of imo for Video Calls and Chat
Easy Typing Practice in 3 Days,Free,Education  >  Study guides,45.19 MB,Accelerated Typing Skill Improvement
Camera Alternative,Free,Education  >  Study guides,45.19 MB,Alternative Camera Application with Unique Features
3D Builder,Free,Education  >  Study guides,45.19 MB,3D Modeling and Printing
Xbox Accessories,Free,Education  >  Study guides,45.19 MB,Configuration and Management of Xbox Accessories
HEIF Image Extensions,Free,Education  >  Study guides,45.19 MB,Support for High-Efficiency Image Format
Concepts,Free,Education  >  Study guides,45.19 MB,Digital Sketching and Design
EasyCast - Mirror Display,Free,Education  >  Study guides,45.19 MB,Easy Screen Mirroring and Display Casting
Pride 2020 Conversations,Free,Education  >  Study guides,45.19 MB,Conversations and Content in Celebration of Pride 2020
LiquidText - Reading & Note-Taking Better than Paper!,Free,Productivity,280.92 MB,nnovative Reading and Note-Taking Experience
HP PC Hardware Diagnostics Windows,Free,Productivity,100.57 MB,Comprehensive Hardware Diagnostics for HP PCs
Sketchable,Free,Entertainment,165.27 MB,Sketching and Drawing Application
Moodle Desktop,Free,Education  >  Instructional tools,168.97 MB,Desktop Access to Moodle Learning Management System
Color Explosion,Free,Personalization  >  Themes,12.59 MB,Dynamic and Colorful Visual Experience
Samsung Gallery,Free,Photo & video,176.02 MB,Samsung Device Photo Gallery
PDF Reader & Viewer,Free,Utilities & tools  >  File managers,25.18 MB, Efficient PDF Viewing and Annotation
Video Player - Play All Videos,Free,Photo & video,49.27 MB,Universal Video Playback
Pichon - Free Icons,Free,Multimedia design  >  Illustration & graphic design,764.98 MB,Access to a Collection of Free Icons
Surface Diagnostic Toolkit,Free,Utilities & tools,44.54 MB,Diagnostic Tools for Surface Devices
Dell Mobile Connect 3.3,Free,Productivity,163.27 MB,Mobile Device Integration with Dell PCs
Autumn Colors,Free,Personalization  >  Themes,23.56 MB,Seasonal Autumn Color Imagery
Treehouses PREMIUM,Free,Personalization  >  Themes,25.19 MB, Premium Collection of Treehouse Imagery
Folder & File Lock,Free,Security  >  Personal security,38.23 MB,Secure Locking of Folders and Files
File Analyzer,Free,Utilities & tools  >  File managers,13.1 MB,Analyzing and Understanding File Properties
Typing Practice for Students,Free,Education  >  Study guides,59.59 MB,Typing Exercises Tailored for Students
"Video Editor Studio : Movie Maker, Flim Editor, Audio Mixer and More",Free,Photo & video,64.69 MB,Comprehensive Video Editing Studio
X-VPN - Best VPN Proxy master,Free,Productivity,30.8 MB,VPN for Secure and Private Browsing
Windows File Recovery,Free,Utilities & tools  >  File managers,2.34 MB,File Recovery Tools for Windows
Share me Files,Free,Productivity,26.5 MB,Easy and Fast File Sharing
Phototastic Collage,Free,Photo & video,70.03 MB,Collage Creation with Photos
Wallpapers 4K,Free,Personalization  >  Wallpaper & lock screens,9.56 MB,4K High-Quality Wallpaper Collection
"Duo Video Converter - FREE Convert video to MP4, MP3, AVI, MPEG, FLV, WMV, MKV, h264",Free,Photo & video,128.2 MB,Video Conversion with Duo Format Support
Notepads App,Free,Developer tools  >  Utilities,33.99 MB,Lightweight and Fast Notepad Application
Lenovo Voice,Free,Productivity,49.18 MB,Voice Command and Assistant by Lenovo
Team Remote Desktop,Free,Productivity,361.21 MB,Remote Desktop Access for Team Collaboration
Water Retreat PREMIUM,Free,Personalization  >  Themes,12.32 MB,Premium Collection of Water Retreat Imagery
Torrex Lite - Torrent Downloader,Free,Utilities & tools,64.45 MB, Lightweight Torrent Downloading
xTorrent - Torrents Download Manager,Free,Utilities & tools,43.01 MB,Intelligent Torrent Management
Festival of Lights,Free,Personalization  >  Themes,11.68 MB,Immersive Light Festival Experience with Dynamic Lighting Effects
Panoramic Cityscapes PREMIUM,Free,Personalization  >  Themes,29.74 MB,360-Degree Virtual Tour
draw.io Diagrams,Free,Productivity,309.07 MB,Collaborative Real-Time Editing
Trello,Free,Business  >  Project management,186.43 MB,Kanban Board Gamification
VPN UnlimitedÂ®,Free,Security  >  Personal security,133.53 MB,Self-Optimizing Network
Screen Recorder Lite,Free,Productivity,39.84 MB, Auto-Bookmarking
PDF Document Scanner,Free,Productivity,59.21 MB,AI-Powered Text Recognition
Bing Wallpaper Download,Free,Personalization  >  Wallpaper & lock screens,26.3 MB,Dynamic Day-Night Wallpaper
File Viewer Plus 4,Free,Productivity,320.06 MB,Universal File Repair
Live Home 3D - House Design,Free,Productivity,338.92 MB,Augmented Reality Design Preview
"WinRare+ .. preview, extract and create: rar, zip, 7zip, gzip",Free,Productivity,266.87 MB,Predictive Compression
Video Editor Music - No Crop Blur Background,Free,Photo & video,135.14 MB,AI-Powered Auto-Editing
Painting in Light PREMIUM,Free,Personalization  >  Themes,41 MB,Light Painting Animation
"Poster Maker: Thumbnail, Cover, Flyer & Ad Page Designer",Free,Photo & video,139.43 MB,Smart Layout Suggestions
Presentation pptx free,Free,Business  >  Data & analytics,42.8 MB, Live Audience Interaction
Reclaimed by Nature,Free,Personalization  >  Themes,9.55 MB,Environmental Impact Tracker
Videoder - Video Downloader 4K for You & Free Tube MP3 Music Converter,Free,Entertainment,22.64 MB,Personalized Video Recommendations
lnkd.in,Free,Social,22.1 MB,Professional Networking Analytics
WiFi Analyzer,Free,Utilities & tools,29.04 MB,Interference Heatmaps
Beach Time PREMIUM,Free,Personalization  >  Themes,16.23 MB,Dynamic Beach Soundscape
Dropbox for S mode,Free,Productivity,48.11 MB,intelligent Offline Sync
WinDynamicDesktop,Free,Personalization  >  Wallpaper & lock screens,11.44 MB,Dynamic Windows Theme
"Rar Extractor, Rar File Opener, Simple Unrar, Simple Unzip",Free,Utilities & tools,26.83 MB,Multi-Format Batch Extraction
"Music Editor : Trim, Extract, Convert and Mix Audio",Free,Utilities & tools,26.83 MB,AI-Enhanced Audio Enhancement
WinZip Universal,Free,Productivity,25.7 MB,Cloud Integration Optimizer
Porsche 911 GT2 RS - Forza Motorsport 7,Free,Personalization  >  Themes,22.49 MB,Virtual Test Drive Simulation
Master Of English Typing,Free,Developer tools  >  Reference & training,59.93 MB,Adaptive Typing Speed Challenges
Xdrop - Fastest File Transfer,Free,Productivity,23.88 MB,Smart Peer-to-Peer Transfer
Clipchamp - Video Editor,Free,Photo & video,1.84 MB,Collaborative Video Editing Workspace
National Geographic Antarctica PREMIUM,Free,Personalization  >  Themes,7.24 MB,Interactive Wildlife Encounters
PowerShell,Free,Personalization  >  Themes,7.24 MB,AI-Enhanced Script Autocompletion
Warm Winter Nights,Free,Personalization  >  Themes,7.24 MB, Dynamic Fireplace Simulation
Panoramic Train Views PREMIUM,Free,Personalization  >  Themes,31.54 MB,Journey Narration AI
Extract,Free,Utilities & tools,25.73 MB,Intelligent Archive Sorting
Whales and Dolphins PREMIUM,Free,Utilities & tools,25.73 MB,Marine Biology Encyclopedia
SUV Racing Xtreme,Free,Utilities & tools,25.73 MB,Dynamic Weather Racing
"Logo Maker - Logo Creator, Generator & Designer",Free,Photo & video,80.34 MB,AI-Generated Logo Suggestions
123 Photo Viewer,Free,Photo & video,80.34 MB,Smart Photo Organization
Xbox Insider Hub,Free,Entertainment,73.44 MB,Smart Photo Organization
Planner 5D - Home & Interior Design,Free,Productivity,2.02 GB,Augmented Reality Room Preview
MSI Dragon Center,Free,Utilities & tools  >  Backup & manage,708.64 MB,System Overclocking Advisor
Vega Video Editor,Free,Photo & video,139.32 MB,Real-Time Collaboration Editing
C Lite Browser,Free,Productivity,5.26 MB,Ultra-Fast Page Rendering
Crosshair V2,Free,Entertainment,8.53 MB,Dynamic Crosshair Customization
Audiotonic - Audio Editor & Recorder (based on Audacity),Free,Utilities & tools,104.19 MB,AI-Powered Noise Reduction
HP QuickDrop,Free,Utilities & tools,55.45 MB,Multi-Device Quick Transfer
Screen Recorder - Video Recorder and Livestream Recorder,Free,Productivity,97.16 MB,Multi-Source Recording
Ink Journal,Free,Personalization  >  Fonts,160 KB,Smart Ink Organization
Ford F-150 Raptor Xbox One X Edition,Free,Personalization  >  Themes,8.83 MB,Virtual Test Drive in Forza Motorsport
One Calendar,Free,Productivity,61.44 MB,Cross-Platform Calendar Integration
Diagnostic Data Viewer,Free,Utilities & tools,29.85 MB,User-Friendly Diagnostic Insights
Coloring Book: Drawing For Adults And Kids,Free,Entertainment,38.96 MB,AI-Enhanced Coloring Suggestions
PPTX Viewer,Free,Utilities & tools  >  File managers,45.36 MB,Dynamic Presentation Playback
Music Maker Jam,Free,Music,308.79 MB, Collaborative Music Creation
Panda Bears,Free,Personalization  >  Themes,4.1 MB,Panda Cam Integration
English Dictionary - Offline,Free,Education  >  Language,101.09 MB, Pronunciation Assistant
Screen Recording Star,Free,Photo & video,228.14 MB,Smart Highlight Reel Creation
Amazon Rainforest,Free,Personalization  >  Themes,14.89 MB,Smart Highlight Reel Creation
"OfficeSuite - PDF, Mail, Documents, Sheets, Slides, 50GB Cloud",Free,Productivity,503.97 MB,Collaborative Office Suite Hub
"Cloud Drive! : OneDrive, Dropbox, Google Drive and more",Free,Social,33.89 MB,Universal Cloud Dashboard
Light Trails PREMIUM,Free,Personalization  >  Themes,29.19 MB,Custom Light Trail Designs
Java Programming,Free,Books & reference  >  Reference,19.88 MB, Intelligent Code Suggestions
Tuber - Video Downloader for YouTube 4K. MP4 & MP3 Music Converter,Free,Entertainment,22.27 MB,4K Video Downloads and MP3 Conversion
Amazon Wildlife PREMIUM,Free,Personalization  >  Themes,9.4 MB,virtual Wildlife Expedition in Amazon Rainforest
"Flow Mail : Outlook, Gmail, Yahoo, iCloud and more",Free,Productivity,25.5 MB,Unified Inbox with Intelligent Sorting
"Animation Desk - Draw Cartoon, Make Animated Video, Create GIF",Free,Entertainment,89.41 MB, Frame-by-Frame Animation Creation
Animal Portraits PREMIUM,Free,Personalization  >  Themes,10.64 MB,AI-Generated Realistic Animal Portraits
Awesome Tube - Player for YouTube,Free,Entertainment,56.96 MB, Floating Video Player for Multitasking
Client 4 Google Photos,Free,Photo & video,30.82 MB,Offline Photo and Video Management
Amazon Landscapes PREMIUM,Free,Personalization  >  Themes,16.8 MB,360-Degree Panoramic Views of Amazon Landscapes
Canon Inkjet Smart Connect,Free,Utilities & tools,47.7 MB,Wireless Printing and Scanning Optimization
Digital Diary,Free,Utilities & tools,2.82 MB,AI-Enhanced Diary Organization and Search
Hinglish to Hindi,Free,Books & reference  >  Reference,1.32 MB,Real-time Hinglish to Hindi Translation
Stunning Waterfalls PREMIUM,Free,Personalization  >  Themes,23.38 MB,Immersive Waterfall Soundscapes
Remote Mouse,Free,Productivity,6.51 MB,Gesture-Based Remote Control
"Thop TV - Videos, Music Converter",Free,Entertainment,39.34 MB, Live TV Streaming and Media Conversion
One Photo Viewer,Free,Photo & video,5.31 MB,AI-Powered Smart Photo Organization
TuneIn Radio,Free,Music,58.16 MB,Personalized Radio Station Recommendations
Pride 2019,Free,Personalization  >  Themes,10.39 MB,Inclusive Pride Event Calendar
NetTV Plus,Free,Entertainment,35.97 MB,Multiscreen TV Streaming
Microsoft Emulator,Free,Developer tools  >  Utilities,28.82 MB,Virtual Windows Environment on Mobile
Karaoke One,Free,Music,62.25 MB,Real-time Pitch Correction in Karaoke
Bamboo Paper,Free,Productivity,89.75 MB,Naturalistic Digital Sketching Experience
Theme Store,Free,Personalization  >  Themes,181.48 MB,AI-Generated Dynamic Themes
Screenshot - Screen capture screenshots snipping tool,Free,Photo & video,22.48 MB, Intelligent Region Selection for Screenshots
Monsoons,Free,Personalization  >  Themes,3.82 MB,Realistic Rain and Thunderstorm Sounds
VideoPad Video Editor Free,Free,Photo & video,60.64 MB, AI-Enhanced Video Editing Suggestions
QuickLook,Free,Productivity,124.66 MB,Instant File Preview with Quick Actions
Vintage Motorcycles PREMIUM,Free,Personalization  >  Themes,9.25 MB,Historical Motorcycle 3D Models and Tours
Desktop Gadgets,Free,Personalization,152.11 MB,Customizable widgets for quick access to important information.
Screen Recorder+,Free,Productivity,205.19 MB,High-quality screen recording with customizable frame rates.
Voice Changer-Game Voice Changer,Free,Personalization  >  Ringtones & sounds,6.69 MB,Real-time voice modulation during gaming.
WiFi QR Code Scanner,Free,Personalization  >  Ringtones & sounds,6.69 MB,Instantly generate QR codes for Wi-Fi networks.
CyberLink PowerDirector 365 Essential,Free,Photo & video,1.31 GB,Advanced video editing features like multi-track editing and keyframe animation.
"Real PDF Creator for Office Free - Word to PDF, Images to PDF, xlsx to PDF, pptx to PDF, URL to PDF, PDF Converter, PDF Maker",Free,Productivity,75.22 MB,"Convert various file formats to PDF, including Word, images, Excel, PowerPoint, and web pages."
Nahimic,Free,Entertainment,101.74 MB,Advanced audio enhancements for immersive gaming and media experiences.
PDF Merger & Splitter: free pdf splitter to extract pdf and combine pdf,Free,Business  >  File management,32.2 MB,ntuitive drag-and-drop interface for merging and splitting PDFs.
Wish You Were Here PREMIUM,Free,Personalization  >  Themes,29.32 MB,Dynamic and customizable desktop wallpapers.
"Journal, a Microsoft Garage project",Free,Productivity,320.81 MB,Secure and private digital journaling.
Screen Recorder for Windows 11,Free,Photo & video,5.83 MB, 
